Date,Steps,Distance (km),Elevation (m),Calories
8/12/13,12,0.01,4,2
7/12/13,14,0.01,0,2
6/12/13,3634,3.34,53,552
5/12/13,5521,4.99,56,689
4/12/13,830,0.78,2,161
3/12/13,4024,3.63,34,495
2/12/13,869,0.79,31,161
1/12/13,545,0.53,35,148
30/11/13,413,0.41,0,88
29/11/13,736,0.71,12,184
28/11/13,5706,5.22,121,810
27/11/13,4806,4.49,44,677
26/11/13,4011,3.68,29,507
25/11/13,5278,4.95,122,801
24/11/13,788,0.75,1,139
23/11/13,346,0.31,18,87
22/11/13,4366,4.35,35,631
21/11/13,4051,3.72,38,502
20/11/13,815,0.77,27,192
19/11/13,9559,8.72,166,1324
18/11/13,13762,11.89,167,1599
16/11/13,1792,1.66,48,389
15/11/13,9922,8.72,130,1310
14/11/13,1190,1.14,50,267
13/11/13,475,0.43,4,91
12/11/13,4862,4.33,52,412
11/11/13,3701,3.27,40,348
9/11/13,2006,1.8,9,255
8/11/13,4724,4.25,43,434
7/11/13,1621,1.42,9,215
6/11/13,3831,3.53,44,375
5/11/13,3800,3.45,46,377
4/11/13,3429,3.13,45,333
3/11/13,5,0,0,1
2/11/13,3572,3.21,16,434
1/11/13,54,0.05,0,5
31/10/13,4489,4.12,58,404
30/10/13,8011,6.99,79,675
29/10/13,4579,4.05,68,471
28/10/13,3535,3.18,44,349
27/10/13,33,0.03,0,7
26/10/13,8,0.01,0,3
25/10/13,45,0.04,0,7
24/10/13,89,0.08,0,7
23/10/13,3356,3.04,57,338
22/10/13,3874,3.46,47,364
21/10/13,2609,2.37,41,214
20/10/13,52,0.05,0,8
19/10/13,805,0.75,3,126
18/10/13,3661,3.32,83,419
17/10/13,96,0.08,0,11
16/10/13,2935,2.68,43,305
15/10/13,4571,4.08,56,487
14/10/13,4869,4.43,61,428
13/10/13,1279,1.18,3,148
12/10/13,44,0.04,0,9
11/10/13,17,0.02,1,4
10/10/13,2706,2.47,54,241
9/10/13,1798,1.64,13,171
8/10/13,4209,3.81,57,413
7/10/13,189,0.16,0,20
6/10/13,1517,1.41,10,183
5/10/13,0,0,0,0
4/10/13,0,0,0,0
3/10/13,0,0,0,0
2/10/13,4068,3.71,41,388
1/10/13,6367,5.61,65,600
30/9/13,4667,4.27,56,427
29/9/13,47,0.04,0,6
28/9/13,578,0.54,3,73
27/9/13,2472,2.31,15,284
26/9/13,2952,2.73,7,408
25/9/13,6131,5.65,74,482
24/9/13,5187,4.54,71,504
23/9/13,2830,2.63,52,272
22/9/13,375,0.35,18,67
21/9/13,839,0.77,6,126
20/9/13,1839,1.68,31,218
19/9/13,2583,2.42,42,257
18/9/13,3674,3.38,46,338
17/9/13,4967,4.42,50,493
16/9/13,7276,6.72,84,498
15/9/13,1762,1.64,5,241
14/9/13,1434,1.31,9,217
13/9/13,1150,1.04,7,169
12/9/13,6877,6.2,81,549
11/9/13,2511,2.31,41,230
10/9/13,1115,1.08,3,130
9/9/13,4628,4.24,59,418
8/9/13,58,0.05,0,6
7/9/13,1637,1.5,4,216
6/9/13,81,0.07,1,15
5/9/13,1763,1.65,56,273
4/9/13,3211,2.95,42,299
3/9/13,4564,4.05,72,493
2/9/13,2435,2.17,9,245
