Id,Time,Value
2022484408,4/1/2016 7:54:00 AM,93
2022484408,4/1/2016 7:54:05 AM,91
2022484408,4/1/2016 7:54:10 AM,96
2022484408,4/1/2016 7:54:15 AM,98
2022484408,4/1/2016 7:54:20 AM,100
2022484408,4/1/2016 7:54:25 AM,101
2022484408,4/1/2016 7:54:30 AM,104
2022484408,4/1/2016 7:54:35 AM,105
2022484408,4/1/2016 7:54:45 AM,102
2022484408,4/1/2016 7:54:55 AM,106
2022484408,4/1/2016 7:55:05 AM,109
2022484408,4/1/2016 7:55:10 AM,112
2022484408,4/1/2016 7:55:15 AM,111
2022484408,4/1/2016 7:55:25 AM,109
2022484408,4/1/2016 7:55:35 AM,110
2022484408,4/1/2016 7:55:40 AM,111
2022484408,4/1/2016 7:55:45 AM,112
2022484408,4/1/2016 7:55:50 AM,111
2022484408,4/1/2016 7:55:55 AM,106
2022484408,4/1/2016 7:56:00 AM,104
2022484408,4/1/2016 7:56:05 AM,98
2022484408,4/1/2016 7:56:10 AM,96
2022484408,4/1/2016 7:56:15 AM,95
2022484408,4/1/2016 7:56:25 AM,90
2022484408,4/1/2016 7:56:30 AM,87
2022484408,4/1/2016 7:56:35 AM,87
2022484408,4/1/2016 7:56:40 AM,88
2022484408,4/1/2016 7:56:55 AM,88
2022484408,4/1/2016 7:57:00 AM,91
2022484408,4/1/2016 7:57:10 AM,90
2022484408,4/1/2016 7:57:25 AM,90
2022484408,4/1/2016 7:57:40 AM,90
2022484408,4/1/2016 7:57:55 AM,91
2022484408,4/1/2016 7:58:00 AM,94
2022484408,4/1/2016 7:58:05 AM,95
2022484408,4/1/2016 7:58:10 AM,96
2022484408,4/1/2016 7:58:25 AM,96
2022484408,4/1/2016 7:58:30 AM,97
2022484408,4/1/2016 7:58:35 AM,99
2022484408,4/1/2016 7:58:40 AM,102
2022484408,4/1/2016 7:58:55 AM,104
2022484408,4/1/2016 7:59:00 AM,106
2022484408,4/1/2016 7:59:10 AM,105
2022484408,4/1/2016 7:59:15 AM,107
2022484408,4/1/2016 7:59:20 AM,108
2022484408,4/1/2016 7:59:25 AM,107
2022484408,4/1/2016 7:59:30 AM,110
2022484408,4/1/2016 7:59:40 AM,109
2022484408,4/1/2016 7:59:55 AM,109
2022484408,4/1/2016 8:00:10 AM,108
2022484408,4/1/2016 8:00:20 AM,107
2022484408,4/1/2016 8:00:25 AM,108
2022484408,4/1/2016 8:00:30 AM,106
2022484408,4/1/2016 8:00:45 AM,105
2022484408,4/1/2016 8:00:55 AM,104
2022484408,4/1/2016 8:01:10 AM,104
2022484408,4/1/2016 8:01:15 AM,105
2022484408,4/1/2016 8:01:20 AM,107
2022484408,4/1/2016 8:01:35 AM,107
2022484408,4/1/2016 8:01:50 AM,107
2022484408,4/1/2016 8:01:55 AM,110
2022484408,4/1/2016 8:02:00 AM,111
2022484408,4/1/2016 8:02:05 AM,109
2022484408,4/1/2016 8:02:15 AM,110
2022484408,4/1/2016 8:02:30 AM,109
2022484408,4/1/2016 8:02:35 AM,106
2022484408,4/1/2016 8:02:40 AM,103
2022484408,4/1/2016 8:02:45 AM,97
2022484408,4/1/2016 8:02:50 AM,90
2022484408,4/1/2016 8:03:00 AM,89
2022484408,4/1/2016 8:03:05 AM,89
2022484408,4/1/2016 8:03:15 AM,84
2022484408,4/1/2016 8:03:20 AM,81
2022484408,4/1/2016 8:03:25 AM,82
2022484408,4/1/2016 8:03:30 AM,81
2022484408,4/1/2016 8:03:45 AM,81
2022484408,4/1/2016 8:03:50 AM,83
2022484408,4/1/2016 8:03:55 AM,84
2022484408,4/1/2016 8:04:05 AM,83
2022484408,4/1/2016 8:04:20 AM,83
2022484408,4/1/2016 8:04:25 AM,84
2022484408,4/1/2016 8:04:40 AM,85
2022484408,4/1/2016 8:04:45 AM,86
2022484408,4/1/2016 8:05:00 AM,86
2022484408,4/1/2016 8:05:10 AM,86
2022484408,4/1/2016 8:05:25 AM,86
2022484408,4/1/2016 8:05:30 AM,87
2022484408,4/1/2016 8:05:45 AM,86
2022484408,4/1/2016 8:05:55 AM,86
